"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked
Passenger
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,311,NA,0,NA,5473046,NA,9865799,NA,9087031,NA,778768,NA,627539,NA,590796,NA,36743,NA,0,NA,0,NA,0,NA,0,NA,11498777,NA,55474008,NA,645,NA,"No",NA,NA,NA,NA
"Intercity Transit","Olympia","WA","19","19","Independent Public Agency or Authority of Transit Service","Full Reporter",176617,310,NA,0,NA,2887494,NA,7545213,NA,7248438,NA,296775,NA,385065,NA,369362,NA,15703,NA,0,NA,0,NA,0,NA,0,NA,5134592,NA,45388067,NA,286,NA,"No",NA,NA,NA,NA
"Pinellas Suncoast Transit Authority","St. Petersburg","FL","4027","40027","Independent Public Agency or Authority of Transit Service","Full Reporter",2441770,308,NA,0,NA,9218944,NA,12815874,NA,12307642,NA,1766367,NA,778609,NA,745879,NA,62426,NA,0,NA,0,NA,0,NA,0,NA,14899026,NA,69787144,NA,929.1,NA,"No",NA,NA,NA,NA
"Rhode Island Public Transit Authority","Providence","RI","1001","10001","Independent Public Agency or Authority of Transit Service","Full Reporter",1190956,304,NA,0,NA,8511218,NA,13154778,NA,11647689,NA,1990478,NA,940055,NA,879363,NA,75292,NA,0,NA,0,NA,0,NA,0,NA,18476860,NA,84689807,NA,1143.1,NA,"No",NA,NA,NA,NA
"Port Authority Trans-Hudson Corporation","Jersey City","NJ","2098","20098","Independent Public Agency or Authority of Transit Service","Full Reporter",18351295,304,NA,0,NA,13786446,NA,13712059,"Q",13113844,NA,598215,NA,898152,"Q",708862,NA,189290,NA,1818649,"Q",1718010,NA,120099,"Q",93151,NA,86652206,NA,363965223,NA,39,NA,"Yes",NA,NA,NA,NA
"Capital Area Transit","Raleigh","NC","4007","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter",884891,298,NA,0,NA,2982718,NA,3449488,NA,5500946,NA,456768,NA,250175,NA,480285,NA,18647,NA,0,NA,0,NA,0,NA,0,NA,5994537,NA,27721762,NA,413.9,NA,"No",NA,NA,NA,NA
"Kansas City Area Transportation Authority","Kansas City","MO","7005","70005","Independent Public Agency or Authority of Transit Service","Full Reporter",1519417,295,NA,0,NA,8084332,NA,12880078,NA,11636695,NA,1530211,NA,864260,NA,787867,NA,87325,NA,0,NA,0,NA,0,NA,0,NA,15428318,NA,61745405,NA,991.8,NA,"No",NA,NA,NA,NA
"Suffolk County Department of Public Works - Transportation Division","Yaphank","NY","2072","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter",18351295,291,NA,0,NA,7720798,NA,17360406,NA,15252687,NA,2107719,NA,931988,NA,813418,NA,118570,NA,0,NA,0,NA,0,NA,0,NA,5801342,NA,45029250,NA,1414.5,NA,"No",NA,NA,NA,NA
"Ride-On Montgomery County Transit","Rockville","MD","3051","30051","City, County or Local Government Unit or Department of Transportation","Full Reporter",4586770,282,NA,0,NA,12775043,NA,15023122,NA,12728700,NA,2294422,NA,1113985,NA,1005302,NA,108683,NA,0,NA,0,NA,0,NA,0,NA,25972313,NA,99160729,NA,1558.5,NA,"No",NA,NA,NA,NA
"Foothill Transit","West Covina","CA","9146","90146","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,278,NA,0,NA,11182580,NA,15241464,NA,11143236,NA,4098228,NA,1017739,NA,759784,NA,257955,NA,0,NA,0,NA,0,NA,0,NA,14596534,NA,102275478,NA,934.9,NA,"No",NA,NA,NA,NA
"Salem Area Mass Transit District","Salem","OR","25","25","Independent Public Agency or Authority of Transit Service","Full Reporter",236632,269,NA,0,NA,2060179,NA,8483399,NA,7973797,NA,509602,NA,540062,NA,492778,NA,47284,NA,0,NA,0,NA,0,NA,0,NA,4025941,NA,15268397,"W",193.6,NA,"No",NA,NA,NA,NA
"Metropolitan Transit Authority","Nashville","TN","4004","40004","Independent Public Agency or Authority of Transit Service","Full Reporter",969587,269,NA,0,NA,5754118,NA,9351269,NA,9030125,NA,1290868,NA,638075,NA,612776,NA,54379,NA,0,NA,0,NA,0,NA,0,NA,10131340,NA,53475740,NA,911.9,NA,"No",NA,NA,NA,NA
"vRide, Inc. - Atlanta","Atlanta","GA","4153","40153","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",4515419,267,NA,0,NA,0,NA,4271095,NA,4271095,NA,0,NA,103304,NA,103304,NA,0,NA,0,NA,0,NA,0,NA,0,NA,767844,NA,23193943,NA,0,NA,"No",NA,NA,NA,NA
"Kitsap Transit","Bremerton","WA","20","20","Independent Public Agency or Authority of Transit Service","Full Reporter",198979,266,NA,0,NA,2005287,NA,4845998,NA,4284404,NA,561594,NA,279197,NA,249758,NA,29439,NA,0,NA,0,NA,0,NA,0,NA,3813354,NA,21620301,NA,592,NA,"No",NA,NA,NA,NA
"Riverside Transit Agency","Riverside","CA","9031","90031","Independent Public Agency or Authority of Transit Service","Full Reporter",1932666,260,NA,0,NA,8303425,NA,14086099,NA,11565366,NA,2721525,NA,835005,NA,734211,NA,108688,NA,0,NA,0,NA,0,NA,0,NA,9651592,NA,69093266,NA,2334.2,NA,"No",NA,NA,NA,NA
"Regional Transit Service, Inc. and Lift Line, Inc.","Rochester","NY","2113","20113","Independent Public Agency or Authority of Transit Service","Full Reporter",720572,256,NA,0,NA,6068199,NA,7862548,NA,6576836,NA,1285712,NA,632952,NA,556564,NA,76388,NA,0,NA,0,NA,0,NA,0,NA,17292513,NA,51025992,NA,975.8,NA,"No",NA,NA,NA,NA
"Pioneer Valley Transit Authority","Springfield","MA","1008","10008","Independent Public Agency or Authority of Transit Service","Full Reporter",621300,254,NA,0,NA,4933146,NA,8773453,NA,7941329,NA,832124,NA,605737,NA,554185,NA,51552,NA,0,NA,0,NA,0,NA,0,NA,12552771,NA,45369235,NA,872,NA,"No",NA,NA,NA,NA
"Metro Transit System","Madison","WI","5005","50005","City, County or Local Government Unit or Department of Transportation","Full Reporter",401661,254,NA,0,NA,5070813,NA,7811799,NA,6740587,"Q",1071212,NA,561749,NA,507031,"Q",54718,NA,0,NA,0,NA,0,NA,0,NA,14632229,"Q",51597570,"Q",421.9,NA,"Yes",NA,NA,NA,NA
"Omnitrans","San Bernardino","CA","9029","90029","Independent Public Agency or Authority of Transit Service","Full Reporter",1932666,248,NA,0,NA,8466180,NA,12586917,NA,11185275,NA,1401642,NA,892839,NA,821648,NA,71191,NA,0,NA,0,NA,0,NA,0,NA,14391194,NA,72846289,NA,872.6,NA,"No",NA,NA,NA,NA
"Jacksonville Transportation Authority","Jacksonville","FL","4040","40040","Independent Public Agency or Authority of Transit Service","Full Reporter",1065219,246,NA,0,NA,8773734,NA,14279815,NA,12838909,"Q",1440906,NA,937394,"Q",859014,"Q",78380,NA,169666,NA,168341,NA,15344,NA,15025,NA,13325104,"Q",75960507,"Q",814.4,NA,"Yes",NA,NA,NA,NA
"Miami Lakes - vRide, Inc.","Miami Lakes","FL","4152","40152","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",5502379,246,NA,0,NA,0,NA,3736383,NA,3736383,NA,0,NA,89223,NA,89223,NA,0,NA,0,NA,0,NA,0,NA,0,NA,592262,NA,20056371,NA,0,NA,"No",NA,NA,NA,NA
"Interurban Transit Partnership","Grand Rapids","MI","5033","50033","Independent Public Agency or Authority of Transit Service","Full Reporter",569935,246,NA,0,NA,5385210,NA,9105132,NA,8428122,NA,677010,NA,642591,NA,597665,NA,44926,NA,0,NA,0,NA,0,NA,0,NA,11961912,NA,45270981,NA,516.6,NA,"No",NA,NA,NA,NA
"Victor Valley Transit Authority","Hesperia","CA","9148","90148","Independent Public Agency or Authority of Transit Service","Full Reporter",328454,245,NA,0,NA,2640398,NA,8145440,NA,7608217,NA,537223,NA,301629,NA,283642,NA,17987,NA,0,NA,0,NA,0,NA,0,NA,2695213,NA,40987422,NA,834.9,NA,"No",NA,NA,NA,NA
"Capital District Transportation Authority","Albany","NY","2002","20002","Independent Public Agency or Authority of Transit Service","Full Reporter",594962,239,NA,0,NA,7756987,NA,10226284,NA,10490202,NA,1321836,NA,771277,NA,765809,NA,61901,NA,0,NA,0,NA,0,NA,0,NA,16876832,NA,66376803,NA,1427,NA,"No",NA,NA,NA,NA
"KI BOIS Community Action Foundation, Inc.","Stigler","OK","6R04-010","6R04-60172","Private-Non-Profit Corporation","Rural Reporter",0,238,NA,0,NA,0,NA,0,NA,5694268,NA,0,NA,0,NA,293625,NA,0,NA,0,NA,0,NA,0,NA,0,NA,743281,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division","Hartford","CT","1048","10048","State Government Unit or Department of Transportation","Full Reporter",924859,233,NA,0,NA,7145406,NA,7971764,NA,7110732,NA,861032,NA,602969,NA,555830,NA,47139,NA,0,NA,0,NA,0,NA,0,NA,14868818,NA,57567829,NA,1136.9,NA,"No",NA,NA,NA,NA
"Des Moines Area Regional Transit Authority","Des Moines","IA","7010","70010","Independent Public Agency or Authority of Transit Service","Full Reporter",450070,231,NA,0,NA,2865528,NA,5962665,NA,5547601,NA,527527,NA,332104,NA,307747,NA,27817,NA,0,NA,0,NA,0,NA,0,NA,4795018,NA,33426601,NA,469.7,NA,"No",NA,NA,NA,NA
"North County Transit District","Oceanside","CA","9030","90030","Independent Public Agency or Authority of Transit Service","Full Reporter",2956746,230,NA,0,NA,7723210,NA,10843820,NA,9801189,"Q",1042631,NA,714805,NA,650033,NA,64772,NA,812428,NA,794726,NA,31714,NA,30519,NA,12640231,NA,111426203,NA,938.1,NA,"Yes",NA,NA,NA,NA
"Greater Hartford Ridesharing Corporation - The Rideshare Company","Bloomfield","CT","1108","10108","Independent Public Agency or Authority of Transit Service","Full Reporter",924859,228,NA,0,NA,0,NA,604410,NA,604410,NA,0,NA,14281,NA,14281,NA,0,NA,0,NA,0,NA,0,NA,0,NA,91746,NA,3572132,NA,0,NA,"No",NA,NA,NA,NA
"Academy Lines, Inc.","Hoboken","NJ","2122","20122","Private-For-Profit Corporation","Full Reporter",18351295,225,NA,0,NA,8781514,NA,9868335,NA,8694568,NA,1173767,NA,269263,NA,244784,NA,24479,NA,0,NA,0,NA,0,NA,0,NA,3777761,NA,0,"W",179.9,NA,"No",NA,NA,NA,NA
"Metropolitan Council","St. Paul","MN","5154","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter",2650890,223,NA,0,NA,2780473,NA,8261346,NA,7160710,NA,1100636,NA,425247,NA,380619,NA,44628,NA,0,NA,0,NA,0,NA,0,NA,2995161,NA,28905977,NA,622,NA,"No",NA,NA,NA,NA
"Sacramento Regional Transit District","Sacramento","CA","9019","90019","Independent Public Agency or Authority of Transit Service","Full Reporter",1723634,222,NA,0,NA,9981345,NA,11290295,NA,9997466,NA,1292829,NA,818265,NA,771775,NA,46490,NA,1519053,NA,1466981,NA,86382,NA,83001,NA,25768473,NA,120190577,NA,924.1,NA,"No",NA,NA,NA,NA
"Fairfax Connector Bus System","Fairfax","VA","3068","30068","City, County or Local Government Unit or Department of Transportation","Full Reporter",4586770,221,NA,0,NA,9512044,NA,11170211,NA,9444602,NA,1725609,NA,782241,NA,721889,NA,60352,NA,0,NA,0,NA,0,NA,0,NA,9764166,NA,49638453,NA,1138.9,NA,"No",NA,NA,NA,NA
"METRO Regional Transit Authority","Akron","OH","5010","50010","Independent Public Agency or Authority of Transit Service","Full Reporter",569499,209,NA,0,NA,4231019,NA,6549575,NA,5766403,NA,783172,NA,470587,NA,433660,NA,36927,NA,0,NA,0,NA,0,NA,0,NA,5321698,NA,24422372,NA,1440.2,NA,"No",NA,NA,NA,NA
"Blue Water Area Transportation Commission","Port Huron","MI","5148","50148","Independent Public Agency or Authority of Transit Service","Full Reporter",87106,209,NA,0,NA,495299,NA,3070638,NA,2883433,NA,187205,NA,203059,NA,185626,NA,17433,NA,0,NA,0,NA,0,NA,0,NA,1535223,NA,8677609,NA,331,NA,"No",NA,NA,NA,NA
"Fort Worth Transportation Authority","Fort Worth","TX","6007","60007","Independent Public Agency or Authority of Transit Service","Full Reporter",5121892,207,NA,0,NA,4313515,NA,8664704,NA,7630092,"W",1034612,NA,617173,NA,540026,"W",77147,NA,0,NA,0,NA,0,NA,0,NA,7851247,NA,27530318,NA,899.3,NA,"No",NA,NA,NA,NA
"Long Beach Transit","Long Beach","CA","9023","90023","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",12150996,202,NA,0,NA,6907833,NA,7596453,NA,7097123,NA,691873,NA,736904,NA,711508,NA,35490,NA,0,NA,0,NA,0,NA,0,NA,28117340,NA,89350620,NA,402.5,NA,"No",NA,NA,NA,NA
"South Central Tennessee Development District","Mt. Pleasant","TN","4R08-007","4R08-40954","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,202,NA,0,NA,0,NA,0,NA,3843111,NA,0,NA,0,NA,230586,NA,0,NA,0,NA,0,NA,0,NA,0,NA,297152,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hillsborough Area Regional Transit Authority","Tampa","FL","4041","40041","Independent Public Agency or Authority of Transit Service","Full Reporter",2441770,201,NA,0,NA,8162947,NA,10712454,NA,9533389,NA,1179065,NA,808750,NA,752009,NA,56741,NA,67042,NA,67018,NA,12526,NA,12453,NA,15449662,NA,82522556,NA,1036.3,NA,"No",NA,NA,NA,NA
"Indianapolis and Marion County Public Transportation","Indianapolis","IN","5050","50050","Independent Public Agency or Authority of Transit Service","Full Reporter",1487483,194,NA,0,NA,7060374,NA,11359866,NA,9804558,NA,1555308,NA,739029,NA,674027,NA,65002,NA,0,NA,0,NA,0,NA,0,NA,9951627,NA,44512063,NA,734.8,NA,"No",NA,NA,NA,NA
"Southern California Regional Rail Authority dba: Metrolink","Los Angeles","CA","9151","90151","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,192,NA,0,NA,13156319,NA,13390505,NA,13085725,NA,304780,NA,377410,NA,340167,NA,37243,NA,2764351,NA,2692581,NA,78992,NA,70341,NA,13975359,NA,406645646,NA,777.8,NA,"No",NA,NA,NA,NA
"Mass Transit Department - City of El Paso","El Paso","TX","6006","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter",803086,187,NA,0,NA,7401481,NA,11121039,NA,9819411,NA,1301628,NA,767454,NA,716372,NA,51082,NA,0,NA,0,NA,0,NA,0,NA,13449700,NA,79883121,NA,673.5,NA,"No",NA,NA,NA,NA
"City of Albuquerque Transit Department","Albuquerque","NM","6019","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter",741318,187,NA,0,NA,5429105,NA,8734234,NA,7399061,NA,1335173,NA,565207,NA,516869,NA,48338,NA,0,NA,0,NA,0,NA,0,NA,12611679,NA,44216014,NA,694.9,NA,"No",NA,NA,NA,NA
"Mass Transportation Authority","Flint","MI","5032","50032","Independent Public Agency or Authority of Transit Service","Full Reporter",356218,185,NA,0,NA,2975911,NA,7239279,NA,6583751,NA,655528,NA,427755,NA,381552,NA,46203,NA,0,NA,0,NA,0,NA,0,NA,5490302,NA,36133039,NA,1542,NA,"No",NA,NA,NA,NA
"Regional Transportation Commission of Washoe County","Reno","NV","9001","90001","Independent Public Agency or Authority of Transit Service","Full Reporter",392141,181,NA,0,NA,3046839,NA,5867410,NA,5693250,NA,286687,NA,383679,NA,364248,NA,23846,NA,0,NA,0,NA,0,NA,0,NA,8559590,NA,35262634,NA,315,NA,"No",NA,NA,NA,NA
"Rural Transit Enterprises Coordinated, Inc.","Mt. Vernon","KY","4R04-019","4R04-40941","Private-Non-Profit Corporation","Rural Reporter",0,179,NA,0,NA,0,NA,0,NA,7528789,NA,0,NA,0,NA,360124,NA,0,NA,0,NA,0,NA,0,NA,0,NA,714260,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Greater Dayton Regional Transit Authority","Dayton","OH","5017","50017","Independent Public Agency or Authority of Transit Service","Full Reporter",724091,178,NA,0,NA,6549414,NA,9085319,NA,8427737,NA,657582,NA,596456,NA,556717,NA,39739,NA,0,NA,0,NA,0,NA,0,NA,10348856,NA,46183664,NA,998.7,NA,"No",NA,NA,NA,NA
"New Orleans Regional Transit Authority","New Orleans","LA","6032","60032","Independent Public Agency or Authority of Transit Service","Full Reporter",899703,178,NA,0,NA,5862316,NA,7308488,NA,6932440,NA,376048,NA,714796,NA,683778,NA,31018,NA,970194,NA,952665,NA,163354,NA,159953,NA,19637287,NA,49434244,NA,637.3,NA,"No",NA,NA,NA,NA
"Toledo Area Regional Transit Authority","Toledo","OH","5022","50022","Independent Public Agency or Authority of Transit Service","Full Reporter",507643,177,NA,0,NA,2953306,NA,5756013,NA,5249978,"Q",506035,"Q",446773,NA,413504,"Q",33269,"Q",0,NA,0,NA,0,NA,0,NA,3087521,"Q",16209115,"Q",520,NA,"Yes",NA,NA,NA,NA
"Capital Area Transportation Authority","Lansing","MI","5036","50036","Independent Public Agency or Authority of Transit Service","Full Reporter",313532,172,NA,0,NA,8139,NA,5406263,"Q",5406263,"Q",0,NA,476647,"Q",476647,"Q",0,NA,0,NA,0,NA,0,NA,0,NA,11070174,NA,35981106,NA,402,NA,"Yes",NA,NA,NA,NA
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","24","24","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,171,NA,0,NA,3869637,NA,6570647,NA,5571607,NA,999040,NA,392283,NA,356631,NA,35652,NA,0,NA,0,NA,0,NA,0,NA,6174506,NA,38290556,NA,455,NA,"No",NA,NA,NA,NA
"Ft.Worth - vRide, Inc.","Arlington","TX","6084","60084","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",5121892,170,NA,0,NA,0,NA,2783365,NA,2783365,NA,0,NA,62498,NA,62498,NA,0,NA,0,NA,0,NA,0,NA,0,NA,384912,NA,18532333,NA,0,NA,"No",NA,NA,NA,NA
"Montachusett Regional Transit Authority","Fitchburg","MA","1061","10061","Independent Public Agency or Authority of Transit Service","Full Reporter",116960,169,NA,0,NA,648499,NA,3579293,NA,3113815,NA,480816,NA,229921,NA,213559,NA,17062,NA,0,NA,0,NA,0,NA,0,NA,1168952,NA,8592541,"W",208,NA,"No",NA,NA,NA,NA
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,165,NA,0,NA,2815563,NA,7329621,NA,6760400,NA,569221,NA,522691,NA,426020,NA,96671,NA,0,NA,0,NA,0,NA,0,NA,5353387,NA,31247254,NA,458,NA,"No",NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,NA,0,NA,2630941,NA,5141981,NA,4180166,NA,961815,NA,214099,NA,179701,NA,34398,NA,0,NA,0,NA,0,NA,0,NA,2189048,NA,30165771,NA,611,NA,"No",NA,NA,NA,NA
"Santa Monica's Big Blue Bus","Santa Monica","CA","9008","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter",12150996,163,NA,0,NA,4749291,NA,5419879,NA,4802729,NA,617150,NA,553578,NA,509539,NA,44039,NA,0,NA,0,NA,0,NA,0,NA,18773986,NA,76121283,NA,207.5,NA,"No",NA,NA,NA,NA
"CNY Centro, Inc.","Syracuse","NY","2018","20018","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",412317,162,NA,0,NA,2951027,NA,4372681,NA,3993948,NA,447567,NA,384134,NA,353146,NA,37796,NA,0,NA,0,NA,0,NA,0,NA,9699709,NA,29535130,NA,393,NA,"No",NA,NA,NA,NA
"Hudson Transit Lines, Inc.","Mahwah","NJ","2126","20126","Private-For-Profit Corporation","Full Reporter",18351295,161,NA,0,NA,9491350,NA,10011182,NA,9447524,NA,563658,NA,225788,NA,210984,NA,14804,NA,0,NA,0,NA,0,NA,0,NA,4360967,NA,0,"W",1714.9,NA,"No",NA,NA,NA,NA
"Mountain Metropolitan Transit","Colorado Springs","CO","8005","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter",559409,161,NA,0,NA,1639187,NA,4557811,NA,3998554,NA,584264,NA,272620,NA,247356,NA,28438,NA,0,NA,0,NA,0,NA,0,NA,3288722,NA,19263041,NA,294.9,NA,"No",NA,NA,NA,NA
"Southeast Missouri Transportation, Inc.","Fredericktown","MO","7R03-029","7R03-70091","Private-Non-Profit Corporation","Rural Reporter",0,158,NA,0,NA,0,NA,0,NA,3692519,NA,0,NA,0,NA,171528,NA,0,NA,0,NA,0,NA,0,NA,0,NA,284171,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Madison County Transit District","Granite City","IL","5146","50146","Independent Public Agency or Authority of Transit Service","Full Reporter",2150706,157,NA,0,NA,3454996,NA,6256886,NA,5203323,NA,1053563,NA,292743,NA,258434,NA,34309,NA,0,NA,0,NA,0,NA,0,NA,2874160,NA,23150724,NA,622.9,NA,"No",NA,NA,NA,NA
"Wichita Transit","Wichita","KS","7015","70015","City, County or Local Government Unit or Department of Transportation","Full Reporter",472870,156,NA,0,NA,1717120,NA,3307030,NA,2764159,NA,542871,NA,186223,NA,157860,NA,28363,NA,0,NA,0,NA,0,NA,0,NA,2123939,NA,10800430,NA,217.1,NA,"No",NA,NA,NA,NA
"Space Coast Area Transit","Cocoa","FL","4063","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter",452791,154,NA,0,NA,1508096,NA,4495345,NA,4153604,NA,341741,NA,202772,NA,188287,NA,14485,NA,0,NA,0,NA,0,NA,0,NA,2910831,NA,24836601,NA,381,NA,"No",NA,NA,NA,NA
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","5040","50040","Independent Public Agency or Authority of Transit Service","Full Reporter",306022,154,NA,0,NA,3070804,NA,4502522,NA,4830363,NA,377184,NA,328036,NA,353368,NA,17657,NA,0,NA,0,NA,0,NA,0,NA,6689843,NA,27023229,NA,415.1,NA,"No",NA,NA,NA,NA
"Memphis Area Transit Authority","Memphis","TN","4003","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter",1060061,150,NA,0,NA,5299021,NA,7902252,NA,6931657,NA,970595,NA,474758,NA,433999,NA,40759,NA,0,NA,0,NA,0,NA,0,NA,8097475,NA,42986308,NA,846.5,NA,"No",NA,NA,NA,NA
