"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","0","0","0","0","1"
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","1","0","0","0","0","1"
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","1","0","0","0","0","1"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","DR, MB","Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","0","1","0","0","0","1"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","DR, MB","Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","0","1","0","0","0","0","1"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","MB","Bus","Bus Transfer Center","1","0","0","0","0","0","0","0","0","1","2"
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","0","1","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR, MB, VP","Demand Response, Bus, Vanpool","Administrative Office / Sales Office","0","0","0","0","0","2","0","0","0","0","2"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR, MB, VP","Demand Response, Bus, Vanpool","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR, MB, VP","Demand Response, Bus, Vanpool","Vehicle Fueling Facility","0","0","0","0","0","0","0","1","0","0","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR, MB, VP","Demand Response, Bus, Vanpool","Vehicle Washing Facility","0","0","0","0","0","0","0","1","0","0","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","MB","Bus","Bus Transfer Center","0","0","0","0","0","2","0","1","0","0","3"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","MB, VP","Bus, Vanpool","Bus Transfer Center","0","0","0","0","0","0","0","0","0","1","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","VP","Vanpool","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","VP","Vanpool","Surface Parking Lot","0","0","0","0","0","0","0","1","1","0","2"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","CB, DR, MB, VP","Commuter Bus, Demand Response, Bus, Vanpool","Administrative Office / Sales Office","0","0","0","0","0","1","0","0","0","0","1"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","CB, DR, MB, VP","Commuter Bus, Demand Response, Bus, Vanpool","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","CB, MB","Commuter Bus, Bus","Bus Transfer Center","0","0","0","0","0","0","2","0","0","1","3"
"Senior Citizen Industries, dba: Central Ride Agency of Nebraska","Grand Island","NE","70052","Private-Non-Profit Corporation","Reduced Reporter","2022","34246","Grand Island, NE","55099","13",,,,,,,,,,,,,,
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","CB, MB","Commuter Bus, Bus","Surface Parking Lot","0","0","0","0","0","1","0","0","1","0","2"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","MB","Bus","At-Grade Fixed Guideway Station","0","0","0","0","0","0","1","0","0","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, FB, MB","Demand Response, Ferryboat, Bus","Ferryboat Terminal","0","0","0","0","0","0","0","1","0","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","1","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","0","1","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","7","0","7"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","FB","Ferryboat","Ferryboat Terminal","0","0","0","0","0","0","0","1","1","0","2"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","FB, MB","Ferryboat, Bus","Ferryboat Terminal","0","0","0","1","0","0","0","1","0","0","2"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","FB, MB","Ferryboat, Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","0","0","1","0","1","2"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","1","0","2"
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","06652","Bellingham, WA","128979","96","DR, MB, VP","Demand Response, Bus, Vanpool","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","06652","Bellingham, WA","128979","96","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","1","2","0","0","4"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","Administrative Office / Sales Office","0","0","0","1","0","0","0","0","0","0","1"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","Elevated Fixed Guideway Station","0","0","0","1","0","0","0","0","0","1","2"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","Maintenance Facility (Service and Inspection)","0","0","0","1","0","0","0","0","0","0","1"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","0","0","2","2"
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","159","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","1","1","1","0","3"
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","159","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","1","1","3"
